event_id,symbol,decision_time,hash_mod,champion_return,baseline_return,delta,state,year
184,LINEAUSDT,2026-06-06 11:00:00+00:00,74,3.1044196612969976,3.1044196612969976,0.0,NO_DIP_CASH,2026
185,LINKUSDT,2026-06-06 11:00:00+00:00,44,5.91347712597885,5.91347712597885,0.0,NO_DIP_CASH,2026
186,LISTAUSDT,2026-06-06 11:00:00+00:00,57,3.1203125,3.1203125,0.0,NO_DIP_CASH,2026
187,LUNAUSDT,2026-06-06 11:00:00+00:00,40,4.503476482617597,4.503476482617597,0.0,NO_DIP_CASH,2026
188,MANAUSDT,2026-06-06 11:00:00+00:00,84,1.4641452344931862,1.4641452344931862,0.0,NO_DIP_CASH,2026
189,MASKUSDT,2026-06-06 11:00:00+00:00,70,2.970028818443815,2.970028818443815,0.0,NO_DIP_CASH,2026
190,METISUSDT,2026-06-06 11:00:00+00:00,77,5.149794238683114,5.149794238683114,0.0,NO_DIP_CASH,2026
191,MUBARAKUSDT,2026-06-06 11:00:00+00:00,27,3.5601626016260157,3.5601626016260157,0.0,NO_DIP_CASH,2026
192,NEIROUSDT,2026-06-06 11:00:00+00:00,19,2.9710442024343253,2.9710442024343253,0.0,NO_DIP_CASH,2026
193,OPUSDT,2026-06-06 11:00:00+00:00,31,0.5352941176470563,0.5352941176470563,0.0,NO_DIP_CASH,2026
194,ORDIUSDT,2026-06-06 11:00:00+00:00,13,1.0253233492171445,1.0253233492171445,0.0,NO_DIP_CASH,2026
195,PLUMEUSDT,2026-06-06 11:00:00+00:00,19,3.069754768392352,3.069754768392352,0.0,NO_DIP_CASH,2026
196,PNUTUSDT,2026-06-06 11:00:00+00:00,60,4.060651629072676,4.060651629072676,0.0,NO_DIP_CASH,2026
197,RAYUSDT,2026-06-06 11:00:00+00:00,16,4.527272727272713,4.527272727272713,0.0,NO_DIP_CASH,2026
198,RENDERUSDT,2026-06-06 11:00:00+00:00,71,2.5244582043343566,2.5244582043343566,0.0,NO_DIP_CASH,2026
199,RLCUSDT,2026-06-06 11:00:00+00:00,81,3.7577039274924395,3.7577039274924395,0.0,NO_DIP_CASH,2026
200,ROSEUSDT,2026-06-06 11:00:00+00:00,81,4.681889763779523,4.681889763779523,0.0,NO_DIP_CASH,2026
201,RSRUSDT,2026-06-06 11:00:00+00:00,71,5.800000000000005,5.800000000000005,0.0,NO_DIP_CASH,2026
202,SAGAUSDT,2026-06-06 11:00:00+00:00,41,2.3430067314884173,2.3430067314884173,0.0,NO_DIP_CASH,2026
203,SUIUSDT,2026-06-06 11:00:00+00:00,33,7.27703788748566,7.27703788748566,0.0,NO_DIP_CASH,2026
204,SUPERUSDT,2026-06-06 11:00:00+00:00,76,2.6761061946902753,2.6761061946902753,0.0,NO_DIP_CASH,2026
205,TAOUSDT,2026-06-06 11:00:00+00:00,56,8.715537017726806,8.715537017726806,0.0,NO_DIP_CASH,2026
206,TIAUSDT,2026-06-06 11:00:00+00:00,33,6.908843537414966,6.908843537414966,0.0,NO_DIP_CASH,2026
207,TRBUSDT,2026-06-06 11:00:00+00:00,2,3.4747458952306465,3.4747458952306465,0.0,NO_DIP_CASH,2026
208,TRUMPUSDT,2026-06-06 11:00:00+00:00,72,4.543589743589727,4.543589743589727,0.0,NO_DIP_CASH,2026
209,VIRTUALUSDT,2026-06-06 11:00:00+00:00,65,4.2198895027624195,4.2198895027624195,0.0,NO_DIP_CASH,2026
210,WIFUSDT,2026-06-06 11:00:00+00:00,1,5.966219839142095,5.966219839142095,0.0,NO_DIP_CASH,2026
211,XTZUSDT,2026-06-06 11:00:00+00:00,87,2.6918692372170927,2.6918692372170927,0.0,NO_DIP_CASH,2026
212,XVGUSDT,2026-06-06 11:00:00+00:00,79,4.00065252854811,4.00065252854811,0.0,NO_DIP_CASH,2026
213,YGGUSDT,2026-06-06 11:00:00+00:00,23,3.047794707297502,3.047794707297502,0.0,NO_DIP_CASH,2026
214,ZAMAUSDT,2026-06-06 11:00:00+00:00,38,7.429812787001078,7.429812787001078,0.0,NO_DIP_CASH,2026
215,ARKUSDT,2026-06-06 18:30:00+00:00,29,1.4101694915254372,1.4101694915254372,0.0,NO_DIP_CASH,2026
216,LINKUSDT,2026-06-06 18:30:00+00:00,44,5.329765155652644,5.329765155652644,0.0,NO_DIP_CASH,2026
217,NEOUSDT,2026-06-06 18:30:00+00:00,70,1.5477562588568585,1.5477562588568585,0.0,NO_DIP_CASH,2026
218,PLUMEUSDT,2026-06-06 18:30:00+00:00,19,1.6132366273798884,1.6132366273798884,0.0,NO_DIP_CASH,2026
219,SCRUSDT,2026-06-06 18:30:00+00:00,30,2.2225697638761144,2.2225697638761144,0.0,DIP,2026
220,SIGNUSDT,2026-06-06 18:30:00+00:00,68,-0.0850574712643491,-0.0850574712643491,0.0,NO_DIP_CASH,2026
221,SUSDT,2026-06-06 18:30:00+00:00,12,0.6547008547008517,0.6547008547008517,0.0,NO_DIP_CASH,2026
222,YBUSDT,2026-06-06 18:30:00+00:00,5,8.902402022756007,8.902402022756007,0.0,DIP,2026
223,PORTALUSDT,2026-06-06 18:45:00+00:00,63,-15.88627450980392,-15.88627450980392,0.0,DIP,2026
224,1000SATSUSDT,2026-08-22 06:00:00+00:00,51,-8.256872037914697,-8.256872037914697,0.0,NO_DIP_CASH,2026
