policy,mode,stable_dev,score,disc_n,cal_n,disc_net24,cal_net24,disc_net48,cal_net48,disc_pf24,cal_pf24
IMP1.5_GB0.3_STOCH_MULTI,IMPULSE_GIVEBACK,False,-1.3341253916632887,1732,1347,0.11660980502353652,-0.7188228016574776,0.5438574230248482,-0.5845641866481907,1.0642380773480722,0.6926159664237944
IMP1.5_GB0.5_HLHH_M3,IMPULSE_GIVEBACK,False,-1.3486327793664692,1593,1227,0.29416543849514076,-0.6814796957656184,0.6565521425315199,-0.637862967834514,1.160401954527457,0.7070988423366323
IMP2_GB0.7_STRUCT_M4,IMPULSE_GIVEBACK,False,-1.3546363078223589,1169,899,0.5407463443702607,-0.4692639283789217,1.0157616139847456,-0.864100910232621,1.3037346191463732,0.7872853078918405
IMP1.5_GB0.5_TURN4,IMPULSE_GIVEBACK,False,-1.374588059741081,1611,1236,0.31695356243475425,-0.718631537618369,0.6902264827145884,-0.6258279533141956,1.1754641968488895,0.6987143119148349
IMP1.5_GB0.3_STRUCT_M4,IMPULSE_GIVEBACK,False,-1.3804533990559997,1725,1344,0.027780428918282307,-0.7720000574830659,0.4995561481620137,-0.5758416736377266,1.014653624128978,0.6738833206479301
IMP1.5_GB0.5_RECLAIM_M3,IMPULSE_GIVEBACK,False,-1.3876709277536696,1575,1215,0.40337094397355344,-0.7072490133743654,0.6559751396429802,-0.6502494663331242,1.220838305336437,0.6982755195381998
IMP1.5_GB0.5_STOCH_MULTI,IMPULSE_GIVEBACK,False,-1.391540309225986,1620,1245,0.3378813985012551,-0.7207715494735728,0.7052577532579183,-0.6402773259443493,1.1897690178811886,0.6950856619193607
IMP1.5_GB0.3_TURN4,IMPULSE_GIVEBACK,False,-1.4244052593110392,1728,1350,0.08366867423373268,-0.8148479421308369,0.5884804633839322,-0.5760375275522276,1.0452806507773538,0.664802103720251
IMP1.5_GB0.5_STRUCT_M4,IMPULSE_GIVEBACK,False,-1.453747820233405,1599,1231,0.3265333821258912,-0.7534798232769683,0.6584016781282095,-0.6686613680338789,1.1802082796963271,0.68393371077442
IMP1.5_GB0.3_RECLAIM_M3,IMPULSE_GIVEBACK,False,-1.4855550879870512,1717,1336,0.10475760578837588,-0.8152499172607219,0.5577086170614849,-0.6359901231915905,1.0552343130328727,0.6568495246526131
IMP1.5_GB0.3_HLHH_M3,IMPULSE_GIVEBACK,False,-1.5154704348406216,1726,1345,0.029776448515458215,-0.8350939447703419,0.5162067236881437,-0.6453212062076537,1.0154836511477598,0.6494471613737417
IMP2_GB0.3_STOCH_MULTI,IMPULSE_GIVEBACK,False,-1.5402029819536622,1548,1168,0.09692050248443125,-0.7227155903474248,0.5729931817427865,-0.7863889788758077,1.051358095650502,0.6890158726957032
IMP2_GB0.5_RECLAIM_M3,IMPULSE_GIVEBACK,False,-1.574641521919792,1362,1024,0.4736527870691802,-0.6592887659731926,0.7232871687003393,-0.887192209022938,1.2572796738812726,0.718394530763389
IMP2_GB0.5_HLHH_M3,IMPULSE_GIVEBACK,False,-1.6151496069342164,1385,1037,0.3504937974410704,-0.6538432753263196,0.7467972206972752,-0.9332050716855191,1.1874993319443214,0.718987400776223
IMP2_GB0.5_STOCH_MULTI,IMPULSE_GIVEBACK,False,-1.6407509116428702,1414,1057,0.3723594071405077,-0.698113328049961,0.7662883590104156,-0.9131373135095322,1.202894167946536,0.7049972991662289
IMP2_GB0.3_STRUCT_M4,IMPULSE_GIVEBACK,False,-1.6440467302762458,1541,1165,0.07144783608770598,-0.8252394922729867,0.5789761604670262,-0.7838951195056875,1.0369525003835427,0.6508788150242826
