feature,rise_mean,control_mean,rise_median,control_median,std_effect,n_rise,n_control
btc4_motion_pos,2.126752197671656,2.413084287591515,1.0,2.0,-0.13160831976237827,75762,21308
btc1_kdj_j,47.38653444561022,51.44832029015471,45.499807330183614,51.832945873619565,-0.13090237448227632,75762,21308
h1_rvol20_d1,0.16848483820204496,-0.005106096691754595,0.0498342927259234,-0.013685914313465799,0.13086506026102787,75714,21308
h1_roc4_acc,-0.3171660586183066,0.002795498448456838,-0.1987289057766572,0.0001959859686151,-0.1297316305199137,75731,21308
pre_ret_12h,-0.7390015564409247,-0.20980552322231935,-0.619962802231866,-0.08678692181908751,-0.12970033002048634,75721,21308
h1_adx_acc,0.09280686984713514,-0.005846514315284417,0.0660968029183806,0.0155513268332825,0.12946212444207672,75693,21308
h4_stoch_spread_d1,-0.6915763840509812,0.36900872281187924,-0.4948291484822267,0.49132346190915177,-0.1293662245552196,75486,21308
btc1_cmf,0.017584993074722503,0.0010839354900922158,0.0171218328210283,-0.0037960486664726,0.12936318244406214,75710,21305
h4_tsi_acc,-0.16714278348774675,0.06624468024163409,-0.1210382976856311,0.0772703647597623,-0.12885387007713728,75718,21308
h1_er10_d3,0.03031846101230194,-0.0012021880608299863,0.0242735042735043,0.0,0.1286666087838121,75717,21302
h4_roc4_d1,-0.3552431880892257,0.03961410432962911,-0.2610157182955985,0.0036791887564113,-0.12666866712062333,75712,21308
btc4_kdj_spread,-0.5055537795342891,0.46738475379064987,-0.298000540535547,1.0172272233416244,-0.1253851374669297,75762,21308
btc1_wpr,-52.46760619339624,-49.153850732400606,-53.89198539304248,-49.4985099496912,-0.12495071107557977,75762,21308
h1_er10_d1,0.021060487530604834,-0.00041109013545017915,0.0157070249947793,0.0,0.12420902291370818,75721,21304
btc4_tsi_d3,-0.18742733922769786,-1.0261911977927363,-0.3590217332912502,-1.148141354374193,0.12379962734142587,75762,21308
btc1_macd_hist,-10.235143193170417,1.7051250203830264,-6.508852327082309,1.9865208407715187,-0.12372853852263252,75762,21308
btc1_structure,0.5221747049972282,0.5833489769100807,1.0,1.0,-0.12281703305416566,75762,21308
btc1_roc4_acc,-0.13224203901845275,0.0012415444419141856,-0.0786724523397786,-0.0034780158016278,-0.1226766447648234,75762,21308
btc1_vwap_dist_acc,-0.09859008201119376,0.0005446329508375047,-0.0625501848615526,0.00417782226886375,-0.12128046777242633,75762,21308
btc4_wpr_d1,-1.3410524210274182,0.5506911772380221,-0.4492992922394485,0.452809045994158,-0.1207695737336661,75762,21308
btc1_stoch_spread_d3,-1.8559771287237876,0.16757753476730786,-1.4313277332652952,-0.2799602799945564,-0.12067369829913024,75762,21308
h4_er10,0.3229093054752006,0.2962917096889412,0.2886597938144327,0.2571428571428571,0.12066289595679242,75667,21308
btc1_bb_width_acc,0.00038496960752641343,1.8605113239659353e-06,-8.508412146154831e-06,-5.282545753949701e-05,0.12029058332364705,75762,21308
btc1_bb_width_d3,0.0010455964406372237,-5.6175844191775997e-05,0.0001382065231602,-5.5853392274035976e-05,0.12020750845120455,75762,21308
h1_bb_pctb_acc,-0.035811426455837195,0.00036351525302013573,-0.029241870704121452,-0.0004575688374007,-0.11989039775896711,75712,21308
btc1_obv_d1,-649.8286973516545,20.807113180823194,-573.3430099999532,198.4118749999907,-0.1195558531556266,75762,21308
btc4_stoch_k_d1,-0.6284605804482972,0.8127599275233127,0.0,0.1693316791140429,-0.11922288810530147,75762,21308
h1_di_spread,-2.071002516284148,-3.866457503786445,-1.8405927135236373,-3.0994226893525436,0.11801657399351341,75719,21308
h4_stoch_spread_d3,-1.0612046365380912,0.8603269950484485,-0.9993988505646634,1.0417965104515652,-0.1168265929903359,75470,21308
btc1_obv,733431.7908034241,706118.3425868666,787110.2524349988,714237.4342149999,0.11565404602710078,75762,21308
btc1_di_spread_acc,-0.8312352667578768,0.02030327325640151,-0.5532483513511757,-0.0319658701233862,-0.11558484689621444,75762,21308
h4_kdj_spread,-0.5755498592416041,0.36076302774367686,-0.8080853621009148,0.13858767343937825,-0.11499136258373013,75675,21308
btc4_wpr_d3,-1.7146926714534751,0.9893930116068645,-1.190335559082392,1.7636642811491328,-0.11494486932143419,75762,21308
h1_roc12_acc,-0.2741574045476448,0.0008379755614136528,-0.1879531737351891,0.0006700198331377,-0.11414687467037488,75719,21308
h1_bb_width_d3,0.0027674977338215073,-0.00019628944121397396,0.00091031349861415,-5.9244131673954255e-05,0.11365221238677158,75712,21308
h1_motion_rise,-0.2818803463934946,0.012014266941993618,0.0,0.0,-0.11296437119295938,75752,21308
h1_adx_d1,0.13750599657449478,0.002620323599984043,0.0468759299936465,-0.08656439475425155,0.11066324787412218,75695,21308
h4_ppo_hist_d1,-0.01731727419457391,0.003555797417872546,-0.01485035640707005,0.0060844406929693,-0.11017584879717303,75730,21308
m15_tsi,-4.1719017755721355,-2.0123678553209583,-4.634273809701385,-1.2896926871948802,-0.10997033005098017,75762,21308
btc4_kdj_j,51.9857969571011,48.6213303954719,53.526095264015794,48.30804125705144,0.10990229580002064,75762,21308
