feature,disc_effect,cal_effect,cross_effect,final_effect,min_abs_effect
m15_roc12_d1,-0.10109310022337863,-0.09283987647352351,-0.1013368992885629,-0.1134387662324579,0.09283987647352351
btc4_vwap_dist_d1,-0.09327300025770924,-0.10874497982125281,-0.09619153328999902,-0.09282448848430054,0.09282448848430054
h4_close_loc,-0.09262446504890276,-0.1538495549509851,-0.1267492759555677,-0.1464500376015236,0.09262446504890276
h1_donch_pos_acc,-0.09569444042680295,-0.09179519655812655,-0.09621641322092835,-0.1061373642184572,0.09179519655812655
m15_rsi_d1,-0.09160903163924507,-0.18340135641408975,-0.12934286530444683,-0.11612020954791474,0.09160903163924507
btc4_ppo_hist_acc,-0.09149076197656258,-0.10936346815306201,-0.10983420452645798,-0.15087575260438799,0.09149076197656258
h1_cmo_acc,-0.10421068210703108,-0.09114342692041282,-0.09922539542135649,-0.1167662893303597,0.09114342692041282
m15_cmo_d1,-0.09049036243176219,-0.15403991240931403,-0.11418247195662687,-0.09921404302099569,0.09049036243176219
btc4_motion_net,-0.1423214500098921,-0.0894859940150884,-0.10826039471226315,-0.17824543526748057,0.0894859940150884
btc4_macd_hist_d1,-0.08928142278503474,-0.10339853688634748,-0.0911394062933737,-0.1184139423870893,0.08928142278503474
h4_rsi,0.4050236158869893,0.08916734773473128,0.326973842055268,0.3498418098842967,0.08916734773473128
btc4_stoch_k_d1,-0.11922288810530147,-0.10266265436075149,-0.08811333750340947,-0.15302793846892768,0.08811333750340947
h1_roc12,-0.08794504433657653,-0.17963773784635936,-0.1242567803780226,-0.11048461369366164,0.08794504433657653
h4_wpr,0.22587969261385404,0.08778880363762746,0.20996664822078712,0.24119535232792969,0.08778880363762746
btc1_motion_rise,-0.09921989597977546,-0.0876155014400187,-0.10719094333561459,-0.08846585005551993,0.0876155014400187
btc4_roc4_d1,-0.08688600874239688,-0.12639238768995503,-0.10495792317174453,-0.1253828492362268,0.08688600874239688
btc1_bb_pctb_acc,-0.09544876743809723,-0.09287482232853178,-0.10234216856090156,-0.08590683431868841,0.08590683431868841
h1_higher_high,-0.0856137924592207,-0.16408581740724493,-0.1290981328470649,-0.17247605165770663,0.0856137924592207
h1_bull_engulf,-0.10142634557657948,-0.13029081137754103,-0.09907218897328003,-0.08544912454242005,0.08544912454242005
h4_body_frac,0.1552765683031347,0.10297397566362534,0.19250533594668254,0.08508126078560062,0.08508126078560062
btc1_atr_pct_acc,0.14264450877899634,0.08464947592942788,0.11351029913878548,0.12951430262255004,0.08464947592942788
h4_kdj_spread,-0.11499136258373013,-0.11466865262376964,-0.08715325466475361,-0.08431913426938883,0.08431913426938883
btc4_cmo,0.2969079102953528,0.08235001927381737,0.2331698357413122,0.15461343621737927,0.08235001927381737
