name,a,b,stable_dev,score,disc_veto,cal_veto,disc_bad_removed,cal_bad_removed,disc_clean_preserved,cal_clean_preserved,disc_delayed_preserved,cal_delayed_preserved,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp
m15_ppo_hist_d3 GE Q80(0.0158154) OR pre_range_4h LE Q50(2.42148),m15_ppo_hist_d3 GE Q80(0.0158154),pre_range_4h LE Q50(2.42148),True,1.1824493779807959,62.30964467005076,58.17610062893082,67.89808917197452,61.578947368421055,39.83228511530398,44.62686567164179,46.638054363376256,48.42657342657343,0.3404293599923409,0.24929777941502823,1.3711096781766559,0.8650946637759628
m15_kdj_spread GE Q70(1.90944) OR btc1_stoch_k_d1 GE Q70(1.25682),m15_kdj_spread GE Q70(1.90944),btc1_stoch_k_d1 GE Q70(1.25682),True,1.1747112598535645,50.97292724196277,52.41090146750524,53.503184713375795,56.84210526315789,49.895178197064986,50.29850746268657,50.92989985693849,49.82517482517482,0.2778313947485597,0.27462282597609,0.8494832844492141,1.087921629238798
m15_kdj_spread GE Q70(1.90944) OR h4_donch_pos_d3 LE Q30(0.0363804),m15_kdj_spread GE Q70(1.90944),h4_donch_pos_d3 LE Q30(0.0363804),True,1.1725231366019482,50.676818950930624,50.786163522012586,54.394904458598724,56.71052631578948,51.257861635220124,55.970149253731336,49.35622317596567,47.72727272727273,0.26720692602272694,0.45295170681837477,0.8374166694445729,0.8309545004258593
m15_chop14 GE Q60(55.1317) OR m15_adx_acc GE Q60(0.326347),m15_chop14 GE Q60(55.1317),m15_adx_acc GE Q60(0.326347),True,1.1654721117231388,62.182741116751274,62.893081761006286,63.43949044585987,68.42105263157895,37.735849056603776,37.61194029850746,40.486409155937054,40.38461538461539,0.2734530423985368,0.3588030296081607,0.8668840827424301,1.1636188386888082
m15_adx_acc GE Q80(0.667864) OR btc1_di_spread_acc GE Q50(-2.44243),m15_adx_acc GE Q80(0.667864),btc1_di_spread_acc GE Q50(-2.44243),True,1.157972596540773,58.75634517766497,59.59119496855346,61.78343949044586,62.36842105263158,41.92872117400419,39.850746268656714,44.20600858369099,45.10489510489511,0.25666302215628284,0.31548966038171217,0.8457650527029278,1.2265958221003324
btc4_bb_width LE Q50(0.05643) OR pre_dd_from_high_4h GE Q70(-0.582829),btc4_bb_width LE Q50(0.05643),pre_dd_from_high_4h GE Q70(-0.582829),True,1.1561440444325624,62.098138747884946,64.67505241090147,67.26114649681529,69.47368421052632,40.88050314465409,40.298507462686565,43.776824034334766,37.23776223776224,0.2421198673844323,0.38272067571486607,0.8180515410556332,1.0163537678720043
m15_ppo_hist_d3 GE Q60(-0.00980363) OR btc1_bb_pctb_d3 GE Q80(0.157098),m15_ppo_hist_d3 GE Q60(-0.00980363),btc1_bb_pctb_d3 GE Q80(0.157098),True,1.1522379732501071,52.62267343485617,53.9832285115304,55.28662420382165,56.97368421052632,48.63731656184486,48.059701492537314,49.92846924177397,44.230769230769226,0.24076059372291414,0.21337459654320845,0.9431918739988913,0.8855843613275891
m15_tsi_d3 GE Q90(1.98347) OR btc1_di_spread_acc GE Q50(-2.44243),m15_tsi_d3 GE Q90(1.98347),btc1_di_spread_acc GE Q50(-2.44243),True,1.148596122196937,55.287648054145514,54.45492662473794,57.961783439490446,58.684210526315795,46.12159329140461,46.71641791044776,45.493562231759654,50.0,0.3680822212715829,0.3727416474923766,0.7270311932184553,0.9997997734988369
m15_kdj_spread GE Q80(3.88) OR btc4_bb_width LE Q50(0.05643),m15_kdj_spread GE Q80(3.88),btc4_bb_width LE Q50(0.05643),True,1.1449971824509955,59.64467005076142,63.52201257861635,63.566878980891715,68.42105263157895,42.34800838574424,40.59701492537313,45.20743919885551,39.16083916083916,0.31796669391539467,0.2313471425450242,0.8352058613033652,0.9332874544310784
m15_er10_d1 GE Q80(0.107262) OR btc1_di_spread_acc GE Q50(-2.44243),m15_er10_d1 GE Q80(0.107262),btc1_di_spread_acc GE Q50(-2.44243),True,1.1419830582649564,59.01015228426396,59.486373165618446,62.802547770700635,63.026315789473685,42.45283018867924,42.08955223880597,42.91845493562232,42.65734265734265,0.3209612541756052,0.46427993762791714,0.7502229516122464,0.9741245306923941
